| Problem | Solution | Language | Commit |
|---------|----------|----------|--------|
| [Maximum Side Length of a Square with Sum Less than or Equal to Threshold](https://leetcode.com/problems/maximum-side-length-of-a-square-with-sum-less-than-or-equal-to-threshold) | [View Solution](https://github.com/sloweyyy/DSA/blob/main/LeetCode%20Daily/01292.%20Maximum%20Side%20Length%20of%20a%20Square%20with%20Sum%20Less%20than%20or%20Equal%20to%20Threshold.cs) | C# | [5a0883e](https://github.com/sloweyyy/DSA/commit/5a0883e1b537f64eb5eb12391f88df4758c15f0c) |
| [Minimum Difference Between Highest and Lowest of K Scores](https://leetcode.com/problems/minimum-difference-between-highest-and-lowest-of-k-scores) | [View Solution](https://github.com/sloweyyy/DSA/blob/main/LeetCode%20Daily/001984.%20Minimum%20Difference%20Between%20Highest%20and%20Lowest%20of%20K%20Scores.ts) | TypeScript | [5a0883e](https://github.com/sloweyyy/DSA/commit/5a0883e1b537f64eb5eb12391f88df4758c15f0c) |
| [Separate Squares II](https://leetcode.com/problems/separate-squares-ii) | [View Solution](https://github.com/sloweyyy/DSA/blob/main/LeetCode%20Daily/03454.%20Separate%20Squares%20II.cs) | C# | [8070a62](https://github.com/sloweyyy/DSA/commit/5a0883e1b537f64eb5eb12391f88df4758c15f0c) |
| [N-Repeated Element in Size 2N Array](https://leetcode.com/problems/n-repeated-element-in-size-2n-array) | [View Solution](https://github.com/sloweyyy/DSA/blob/main/LeetCode%20Daily/00961.%20N-Repeated%20Element%20in%20Size%202N%20Array.java) | Java | [1e5cbdb](https://github.com/sloweyyy/DSA/commit/5a0883e1b537f64eb5eb12391f88df4758c15f0c) |
| [Plus One](https://leetcode.com/problems/plus-one) | [View Solution](https://github.com/sloweyyy/DSA/blob/main/LeetCode%20Daily/0066.%20Plus%20One.java) | Java | [1e5cbdb](https://github.com/sloweyyy/DSA/commit/5a0883e1b537f64eb5eb12391f88df4758c15f0c) |
| [Longest Subarray of 1's After Deleting One Element](https://leetcode.com/problems/longest-subarray-of-1s-after-deleting-one-element) | [View Solution](https://github.com/sloweyyy/DSA/blob/main/LeetCode%20Daily/01493.%20Longest%20Subarray%20of%201's%20After%20Deleting%20One%20Element.go) | Go | [0d2161a](https://github.com/sloweyyy/DSA/commit/5a0883e1b537f64eb5eb12391f88df4758c15f0c) |
| [Find the Minimum Area to Cover All Ones II](https://leetcode.com/problems/find-the-minimum-area-to-cover-all-ones-ii) | [View Solution](https://github.com/sloweyyy/DSA/blob/main/LeetCode%20Daily/03197.%20Find%20the%20Minimum%20Area%20to%20Cover%20All%20Ones%20II.go) | Go | [a7a5e59](https://github.com/sloweyyy/DSA/commit/5a0883e1b537f64eb5eb12391f88df4758c15f0c) |
| [Maximum Earnings From Taxi](https://leetcode.com/problems/maximum-earnings-from-taxi) | [View Solution](https://github.com/sloweyyy/DSA/blob/main/LeetCode%20Daily/02008.%20Maximum%20Earnings%20From%20Taxi.go) | Go | [a7a5e59](https://github.com/sloweyyy/DSA/commit/5a0883e1b537f64eb5eb12391f88df4758c15f0c) |
| [Find the Minimum Area to Cover All Ones I](https://leetcode.com/problems/find-the-minimum-area-to-cover-all-ones-i) | [View Solution](https://github.com/sloweyyy/DSA/blob/main/LeetCode%20Daily/03195.%20Find%20the%20Minimum%20Area%20to%20Cover%20All%20Ones%20I.go) | Go | [b6426c3](https://github.com/sloweyyy/DSA/commit/5a0883e1b537f64eb5eb12391f88df4758c15f0c) |
| [Count Submatrices With All Ones](https://leetcode.com/problems/count-submatrices-with-all-ones) | [View Solution](https://github.com/sloweyyy/DSA/blob/main/LeetCode%20Daily/001504.%20Count%20Submatrices%20With%20All%20Ones.go) | Go | [1d3ee11](https://github.com/sloweyyy/DSA/commit/5a0883e1b537f64eb5eb12391f88df4758c15f0c) |
